Piece_ID | Slot_Position (y, x) | SSIM_Score
116      | (15, 03)             | 0.414419
117      | (28, 04)             | 0.998043
118      | (28, 02)             | 0.998726
119      | (09, 00)             | 0.994681
120      | (14, 24)             | 0.998697
121      | (05, 30)             | 0.996725
122      | (30, 28)             | 0.997518
123      | (17, 07)             | 0.823172
124      | (11, 22)             | 0.997412
125      | (25, 20)             | 0.995117
126      | (10, 28)             | 0.998344
127      | (21, 07)             | 0.992456
128      | (23, 29)             | 0.996817
129      | (07, 02)             | 0.997446
130      | (31, 17)             | 0.997737
131      | (31, 09)             | 0.998578
132      | (26, 31)             | 0.998525
133      | (19, 16)             | 0.992348
134      | (13, 03)             | 0.997842
135      | (00, 05)             | 0.996669
136      | (00, 28)             | 0.997013
137      | (28, 16)             | 0.999597
138      | (24, 26)             | 0.998456
139      | (22, 14)             | 0.985237
140      | (22, 26)             | 0.996357
141      | (29, 30)             | 0.997926
142      | (06, 23)             | 0.998919
143      | (24, 15)             | 0.996879
144      | (03, 10)             | 0.995291
145      | (16, 17)             | 0.839166
146      | (15, 29)             | 0.767046
147      | (15, 19)             | 0.724709
148      | (19, 30)             | 0.997487
149      | (18, 20)             | 0.998302
150      | (00, 20)             | 0.999024
151      | (27, 22)             | 0.998134
152      | (12, 18)             | 0.996224
153      | (00, 15)             | 0.997914
154      | (23, 20)             | 0.991152
155      | (02, 29)             | 0.997826
156      | (22, 23)             | 0.997623
157      | (00, 09)             | 0.998847
158      | (29, 02)             | 0.997191
159      | (13, 24)             | 0.999071
160      | (19, 15)             | 0.988124
161      | (10, 30)             | 0.997533
162      | (28, 30)             | 0.998127
163      | (25, 02)             | 0.996653
164      | (15, 13)             | 0.770153
165      | (05, 10)             | 0.996055
166      | (01, 02)             | 0.999876
167      | (24, 14)             | 0.994532
168      | (25, 27)             | 0.998981
169      | (25, 11)             | 0.992241
170      | (16, 09)             | 0.296364
171      | (04, 15)             | 0.997297
172      | (01, 19)             | 0.997939
173      | (28, 31)             | 0.998666
174      | (26, 12)             | 0.994748
175      | (09, 22)             | 0.998156
176      | (03, 19)             | 0.995647
177      | (16, 23)             | 0.785300
178      | (11, 21)             | 0.998270
179      | (30, 08)             | 0.996746
180      | (31, 18)             | 0.998007
181      | (26, 03)             | 0.996745
182      | (06, 04)             | 0.998978
183      | (04, 23)             | 0.998385
184      | (26, 02)             | 0.997845
185      | (30, 31)             | 0.996666
186      | (05, 08)             | 0.995971
187      | (03, 27)             | 0.996742
188      | (19, 12)             | 0.991687
189      | (25, 03)             | 0.997090
190      | (04, 02)             | 0.998013
191      | (06, 27)             | 0.997485
192      | (12, 26)             | 0.998362
193      | (16, 04)             | 0.440925
194      | (00, 23)             | 0.999363
195      | (27, 10)             | 0.996847
196      | (25, 08)             | 0.994660
197      | (16, 05)             | 0.553396
198      | (08, 03)             | 0.994996
199      | (01, 01)             | 0.999632
200      | (00, 25)             | 0.999228
201      | (05, 23)             | 0.999633
202      | (02, 25)             | 0.998434
203      | (04, 20)             | 0.998906
204      | (29, 12)             | 0.998383
205      | (18, 30)             | 0.997416
206      | (22, 21)             | 0.994157
207      | (14, 09)             | 0.997038
208      | (31, 07)             | 0.997885
209      | (26, 16)             | 0.995510
210      | (24, 01)             | 0.995673
211      | (00, 06)             | 0.998038
212      | (07, 26)             | 0.998704
213      | (15, 23)             | 0.967179
214      | (20, 01)             | 0.998227
215      | (17, 21)             | 0.945566
216      | (31, 15)             | 0.998416
217      | (00, 24)             | 0.999266
218      | (14, 27)             | 0.996443
219      | (06, 20)             | 0.996715
220      | (15, 14)             | 0.903471
221      | (11, 18)             | 0.998090
222      | (11, 31)             | 0.998548
223      | (12, 17)             | 0.996839
224      | (29, 16)             | 0.999126
225      | (23, 25)             | 0.997742
226      | (20, 04)             | 0.998304
227      | (16, 30)             | 0.333731
228      | (03, 30)             | 0.997925
229      | (20, 03)             | 0.996893
230      | (12, 05)             | 0.996535
231      | (18, 00)             | 0.997860
232      | (20, 05)             | 0.997774
233      | (29, 20)             | 0.995829
234      | (25, 00)             | 0.997072
235      | (05, 20)             | 0.998390
236      | (07, 10)             | 0.996619
237      | (31, 14)             | 0.998648
238      | (25, 16)             | 0.994462
239      | (30, 19)             | 0.995442
240      | (04, 03)             | 0.996978
241      | (18, 12)             | 0.995569
242      | (24, 24)             | 0.996017
243      | (10, 25)             | 0.998258
244      | (04, 25)             | 0.999018
245      | (06, 18)             | 0.998593
246      | (30, 21)             | 0.997001
247      | (20, 25)             | 0.997140
248      | (00, 11)             | 0.998647
249      | (18, 02)             | 0.994166
250      | (04, 24)             | 0.999892
251      | (09, 30)             | 0.997774
252      | (24, 25)             | 0.996188
253      | (11, 07)             | 0.998179
254      | (06, 25)             | 0.997910
255      | (27, 27)             | 0.998334
256      | (07, 15)             | 0.999275
257      | (13, 22)             | 0.998696
258      | (21, 03)             | 0.997558
259      | (12, 04)             | 0.996082
260      | (28, 12)             | 0.997209
261      | (09, 21)             | 0.995996
262      | (12, 29)             | 0.997029
263      | (14, 30)             | 0.999231
264      | (30, 05)             | 0.997539
265      | (09, 09)             | 0.996121
266      | (05, 22)             | 0.999016
267      | (16, 06)             | 0.471596
268      | (28, 26)             | 0.997575
269      | (20, 21)             | 0.997642
270      | (31, 13)             | 0.998617
271      | (03, 15)             | 0.996719
272      | (02, 07)             | 0.998003
273      | (22, 31)             | 0.998461
274      | (07, 22)             | 0.997092
275      | (01, 09)             | 0.998616
276      | (17, 16)             | 0.756085
277      | (29, 18)             | 0.998407
278      | (06, 26)             | 0.998421
279      | (10, 07)             | 0.998266
280      | (08, 30)             | 0.998085
281      | (28, 09)             | 0.996947
282      | (04, 16)             | 0.996294
283      | (14, 18)             | 0.995774
284      | (29, 23)             | 0.997484
285      | (17, 30)             | 0.541326
286      | (08, 12)             | 0.995834
287      | (01, 24)             | 0.999387
288      | (10, 15)             | 0.994741
289      | (00, 18)             | 0.999013
290      | (05, 05)             | 0.996635
291      | (30, 18)             | 0.998022
292      | (12, 07)             | 0.998168
293      | (10, 14)             | 0.997993
294      | (16, 07)             | 0.505735
295      | (09, 02)             | 0.996238
296      | (09, 27)             | 0.996411
297      | (29, 05)             | 0.996078
298      | (30, 12)             | 0.997286
299      | (02, 12)             | 0.996884
300      | (04, 00)             | 0.997095
301      | (23, 16)             | 0.994270
302      | (01, 08)             | 0.995496
303      | (11, 19)             | 0.997911
304      | (08, 24)             | 0.998779
305      | (14, 25)             | 0.997767
306      | (18, 15)             | 0.992362
307      | (16, 22)             | 0.996833
308      | (14, 11)             | 0.997150
309      | (02, 23)             | 0.998604
310      | (09, 10)             | 0.996537
311      | (23, 10)             | 0.994126
312      | (00, 19)             | 0.999337
313      | (12, 06)             | 0.994984
314      | (13, 12)             | 0.997213
315      | (02, 00)             | 0.997333
316      | (04, 09)             | 0.997294
317      | (03, 25)             | 0.999301
318      | (07, 11)             | 0.996988
319      | (23, 21)             | 0.996426
320      | (13, 19)             | 0.996599
321      | (13, 31)             | 0.996558
322      | (14, 02)             | 0.996245
323      | (26, 14)             | 0.994767
324      | (12, 19)             | 0.996469
325      | (05, 19)             | 0.996271
326      | (31, 02)             | 0.997895
327      | (19, 01)             | 0.999033
328      | (13, 11)             | 0.996921
329      | (30, 30)             | 0.994978
330      | (19, 04)             | 0.996225
331      | (04, 08)             | 0.997560
332      | (09, 01)             | 0.997248
333      | (23, 18)             | 0.996163
334      | (27, 29)             | 0.996454
335      | (23, 26)             | 0.998330
336      | (10, 21)             | 0.994510
337      | (13, 02)             | 0.996546
338      | (10, 03)             | 0.999593
339      | (05, 04)             | 0.999342
340      | (31, 26)             | 0.997505
341      | (30, 04)             | 0.998197
342      | (24, 00)             | 0.997547
343      | (16, 08)             | 0.428615
344      | (13, 18)             | 0.994141
345      | (04, 14)             | 0.995958
346      | (12, 15)             | 0.994754
347      | (11, 09)             | 0.994035
348      | (05, 11)             | 0.995981
349      | (07, 08)             | 0.995941
350      | (17, 26)             | 0.768737
351      | (16, 12)             | 0.553874
352      | (24, 28)             | 0.998242
353      | (28, 07)             | 0.997829
354      | (18, 16)             | 0.992185
355      | (19, 22)             | 0.995562
356      | (14, 19)             | 0.997627
357      | (17, 02)             | 0.768914
358      | (13, 15)             | 0.996531
359      | (14, 05)             | 0.996965
360      | (14, 01)             | 0.996583
361      | (05, 16)             | 0.996762
362      | (15, 30)             | 0.532778
363      | (00, 30)             | 0.998076
364      | (02, 08)             | 0.997657
365      | (13, 29)             | 0.998817
366      | (03, 23)             | 0.998910
367      | (20, 12)             | 0.992578
368      | (03, 20)             | 0.997084
369      | (05, 21)             | 0.998374
370      | (02, 05)             | 0.997181
371      | (03, 11)             | 0.995368
372      | (23, 06)             | 0.993695
373      | (20, 29)             | 0.997520
374      | (19, 27)             | 0.996374
375      | (16, 02)             | 0.327017
376      | (02, 01)             | 0.998836
377      | (02, 18)             | 0.994788
378      | (28, 29)             | 0.998529
379      | (14, 14)             | 0.995055
380      | (00, 27)             | 0.998043
381      | (19, 10)             | 0.997225
382      | (11, 12)             | 0.995911
383      | (22, 19)             | 0.990145
384      | (22, 18)             | 0.991854
385      | (01, 14)             | 0.995613
386      | (08, 27)             | 0.998493
387      | (04, 19)             | 0.995378
388      | (04, 29)             | 0.997807
389      | (13, 10)             | 0.994916
390      | (27, 12)             | 0.996988
391      | (01, 27)             | 0.998346
392      | (21, 27)             | 0.998162
393      | (11, 06)             | 0.997617
394      | (28, 15)             | 0.997890
395      | (13, 06)             | 0.995272
396      | (10, 09)             | 0.996862
397      | (08, 23)             | 0.997860
398      | (12, 24)             | 0.999011
399      | (21, 11)             | 0.995751
400      | (06, 28)             | 0.998119
401      | (30, 02)             | 0.997682
402      | (16, 25)             | 0.323380
403      | (17, 22)             | 0.546912
404      | (22, 15)             | 0.993206
405      | (30, 10)             | 0.998900
406      | (28, 13)             | 0.996138
407      | (13, 07)             | 0.997618
408      | (22, 08)             | 0.993771
409      | (12, 22)             | 0.998674
410      | (23, 13)             | 0.995406
411      | (16, 31)             | 0.731095
412      | (21, 23)             | 0.995719
413      | (21, 04)             | 0.997631
414      | (09, 23)             | 0.997347
415      | (27, 11)             | 0.998199
416      | (10, 27)             | 0.997927
417      | (18, 06)             | 0.996169
418      | (08, 19)             | 0.996238
419      | (22, 00)             | 0.997794
420      | (25, 01)             | 0.995552
421      | (07, 30)             | 0.998157
422      | (25, 05)             | 0.993331
423      | (01, 15)             | 0.997767
424      | (08, 13)             | 0.996975
425      | (11, 05)             | 0.996839
426      | (06, 29)             | 0.998395
427      | (14, 13)             | 0.995824
428      | (08, 25)             | 0.998503
429      | (22, 03)             | 0.997273
430      | (25, 24)             | 0.997687
431      | (28, 05)             | 0.996503
432      | (28, 22)             | 0.999223
433      | (01, 31)             | 0.998960
434      | (07, 12)             | 0.997844
435      | (04, 27)             | 0.998089
436      | (13, 01)             | 0.996464
437      | (00, 08)             | 0.994865
438      | (16, 18)             | 0.942950
439      | (19, 23)             | 0.997742
440      | (02, 24)             | 0.999270
441      | (02, 31)             | 0.998164
442      | (06, 22)             | 0.997190
443      | (19, 18)             | 0.995901
444      | (24, 06)             | 0.990002
445      | (14, 10)             | 0.995776
446      | (13, 23)             | 0.998654
447      | (02, 06)             | 0.997656
448      | (02, 19)             | 0.995414
449      | (08, 22)             | 0.998254
450      | (29, 22)             | 0.998249
451      | (20, 15)             | 0.996324
452      | (31, 06)             | 0.997960
453      | (20, 13)             | 0.995109
454      | (17, 09)             | 0.493567
455      | (22, 09)             | 0.992674
456      | (03, 29)             | 0.998427
457      | (03, 05)             | 0.995646
458      | (05, 12)             | 0.997889
459      | (24, 12)             | 0.990909
460      | (14, 03)             | 0.996909
461      | (17, 29)             | 0.784790
462      | (25, 31)             | 0.998537
463      | (13, 16)             | 0.996348
464      | (29, 21)             | 0.997501
465      | (16, 03)             | 0.561822
466      | (17, 24)             | 0.864455
467      | (11, 17)             | 0.996720
468      | (26, 20)             | 0.998426
469      | (16, 20)             | 0.926614
470      | (21, 16)             | 0.993636
471      | (15, 20)             | 0.725152
472      | (27, 30)             | 0.997538
473      | (09, 16)             | 0.997345
474      | (26, 28)             | 0.998523
475      | (29, 14)             | 0.997495
476      | (27, 09)             | 0.994313
477      | (21, 22)             | 0.995067
478      | (13, 00)             | 0.997946
479      | (25, 21)             | 0.994873
480      | (19, 11)             | 0.997027
481      | (20, 22)             | 0.997677
482      | (00, 29)             | 0.999250
483      | (18, 23)             | 0.998302
484      | (21, 01)             | 0.997634
485      | (28, 08)             | 0.999033
486      | (15, 24)             | 0.786004
487      | (30, 27)             | 0.999153
488      | (19, 31)             | 0.998906
489      | (29, 08)             | 0.996801
490      | (03, 31)             | 0.997386
491      | (16, 13)             | 0.185151
492      | (09, 19)             | 0.994969
493      | (14, 22)             | 0.998669
494      | (17, 19)             | 0.834892
495      | (11, 26)             | 0.998288
496      | (02, 26)             | 0.998566
497      | (10, 04)             | 0.998899
498      | (02, 28)             | 0.998360
499      | (04, 07)             | 0.997681
500      | (31, 31)             | 0.997578
501      | (26, 25)             | 0.998304
502      | (20, 02)             | 0.997058
503      | (11, 20)             | 0.998632
504      | (01, 07)             | 0.997021
505      | (27, 07)             | 0.996884
506      | (17, 10)             | 0.388222
507      | (10, 19)             | 0.996632
508      | (07, 14)             | 0.999105
509      | (15, 21)             | 0.595128
510      | (28, 19)             | 0.998479
511      | (12, 08)             | 0.996664
512      | (06, 30)             | 0.996284
513      | (25, 22)             | 0.995136
514      | (17, 20)             | 0.996526
515      | (10, 26)             | 0.997207
516      | (23, 23)             | 0.994972
517      | (25, 12)             | 0.991336
518      | (25, 15)             | 0.988589
519      | (18, 19)             | 0.996891
520      | (28, 17)             | 0.999397
521      | (21, 02)             | 0.997414
522      | (25, 09)             | 0.994402
523      | (04, 17)             | 0.997658
524      | (23, 05)             | 0.996373
525      | (19, 26)             | 0.995254
526      | (27, 02)             | 0.997698
527      | (28, 10)             | 0.995521
528      | (27, 26)             | 0.998129
529      | (28, 00)             | 0.997942
530      | (08, 31)             | 0.997478
531      | (23, 07)             | 0.989065
532      | (25, 30)             | 0.995752
533      | (16, 28)             | 0.620406
534      | (26, 21)             | 0.998682
535      | (29, 04)             | 0.998225
536      | (07, 13)             | 0.997132
537      | (22, 22)             | 0.996186
538      | (01, 05)             | 0.997185
539      | (02, 20)             | 0.998628
540      | (23, 00)             | 0.995153
541      | (04, 31)             | 0.997938
542      | (26, 17)             | 0.996644
543      | (22, 27)             | 0.997311
544      | (24, 05)             | 0.995743
545      | (18, 08)             | 0.995461
546      | (20, 09)             | 0.997077
547      | (00, 03)             | 0.999124
548      | (06, 14)             | 0.998608
549      | (23, 02)             | 0.995128
550      | (14, 20)             | 0.997395
551      | (15, 27)             | 0.395376
552      | (29, 28)             | 0.997268
553      | (01, 21)             | 0.999879
554      | (13, 28)             | 0.997783
555      | (15, 22)             | 0.998247
556      | (11, 24)             | 0.998551
557      | (20, 23)             | 0.995548
558      | (24, 22)             | 0.992298
559      | (10, 13)             | 0.996021
560      | (03, 21)             | 0.998090
561      | (04, 22)             | 0.999225
562      | (01, 23)             | 0.998656
563      | (26, 11)             | 0.996955
564      | (29, 11)             | 0.998712
565      | (16, 01)             | 0.249497
566      | (08, 04)             | 0.998376
567      | (27, 17)             | 0.998893
568      | (02, 22)             | 0.998805
569      | (26, 08)             | 0.997400
570      | (01, 20)             | 0.998428
571      | (31, 22)             | 0.998574
572      | (18, 21)             | 0.996774
573      | (23, 31)             | 0.998042
574      | (12, 11)             | 0.995494
575      | (29, 07)             | 0.999428
576      | (08, 01)             | 0.995338
577      | (26, 05)             | 0.995432
578      | (25, 17)             | 0.994889
579      | (09, 28)             | 0.998027
580      | (27, 23)             | 0.998348
581      | (04, 11)             | 0.995094
582      | (18, 03)             | 0.996050
583      | (10, 23)             | 0.999646
584      | (22, 11)             | 0.987892
585      | (15, 09)             | 0.585166
586      | (21, 12)             | 0.990957
587      | (11, 23)             | 0.997868
588      | (13, 26)             | 0.998970
589      | (09, 25)             | 0.998319
590      | (18, 31)             | 0.999617
591      | (09, 31)             | 0.998054
592      | (08, 02)             | 0.996481
593      | (15, 05)             | 0.268899
594      | (31, 01)             | 0.996459
595      | (30, 24)             | 0.998749
596      | (28, 27)             | 0.997875
597      | (06, 06)             | 0.994743
598      | (24, 08)             | 0.988627
599      | (03, 09)             | 0.995504
600      | (09, 03)             | 0.997228
601      | (03, 02)             | 0.996030
602      | (16, 19)             | 0.637283
603      | (29, 27)             | 0.997686
604      | (27, 14)             | 0.997801
605      | (05, 24)             | 0.997624
606      | (17, 11)             | 0.952821
607      | (18, 09)             | 0.996542
608      | (05, 15)             | 0.997764
609      | (00, 16)             | 0.999048
610      | (07, 27)             | 0.997820
611      | (04, 12)             | 0.995910
612      | (05, 17)             | 0.998384
613      | (10, 00)             | 0.996495
614      | (21, 13)             | 0.994997
615      | (00, 01)             | 0.997553
616      | (03, 28)             | 0.999172
617      | (29, 10)             | 0.997852
618      | (12, 01)             | 0.997211
619      | (30, 22)             | 0.999077
620      | (26, 23)             | 0.998798
621      | (29, 06)             | 0.996970
622      | (19, 14)             | 0.994134
623      | (26, 19)             | 0.998083
624      | (14, 12)             | 0.997785
625      | (24, 11)             | 0.993097
626      | (24, 20)             | 0.996097
627      | (27, 21)             | 0.998947
628      | (17, 28)             | 0.819834
629      | (09, 13)             | 0.997485
630      | (18, 10)             | 0.997732
631      | (12, 20)             | 0.998108
632      | (26, 00)             | 0.996992
633      | (00, 00)             | 0.999125
634      | (06, 21)             | 0.998718
635      | (23, 08)             | 0.993190
636      | (22, 24)             | 0.995018
637      | (30, 17)             | 0.997801
638      | (10, 17)             | 0.996854
639      | (19, 02)             | 0.997655
640      | (29, 29)             | 0.997841
641      | (08, 29)             | 0.998125
642      | (00, 07)             | 0.997698
643      | (16, 14)             | 0.081949
644      | (26, 15)             | 0.995223
645      | (27, 06)             | 0.994716
646      | (17, 00)             | 0.904684
647      | (08, 05)             | 0.997627
648      | (00, 04)             | 0.998540
649      | (15, 04)             | 0.373447
650      | (25, 26)             | 0.998202
651      | (02, 03)             | 0.998736
652      | (10, 01)             | 0.997180
653      | (25, 28)             | 0.998989
654      | (08, 14)             | 0.997668
655      | (15, 15)             | 0.757645
656      | (07, 00)             | 0.998728
657      | (12, 14)             | 0.995641
658      | (27, 08)             | 0.997061
659      | (21, 30)             | 0.997346
660      | (05, 26)             | 0.998703
661      | (15, 17)             | 0.937967
662      | (22, 17)             | 0.990873
663      | (28, 28)             | 0.997981
664      | (07, 06)             | 0.996495
665      | (21, 31)             | 0.997893
666      | (19, 20)             | 0.998052
667      | (24, 29)             | 0.997933
668      | (28, 11)             | 0.999086
669      | (10, 31)             | 0.998150
670      | (04, 13)             | 0.997822
671      | (02, 13)             | 0.997923
672      | (31, 21)             | 0.997231
673      | (20, 07)             | 0.994108
674      | (25, 06)             | 0.997863
675      | (07, 31)             | 0.998819
676      | (27, 16)             | 0.996259
677      | (17, 18)             | 0.578547
678      | (19, 05)             | 0.997959
679      | (11, 11)             | 0.994491
680      | (20, 11)             | 0.994851
681      | (18, 25)             | 0.998321
682      | (01, 10)             | 0.996833
683      | (13, 08)             | 0.997814
684      | (23, 30)             | 0.996422
685      | (23, 11)             | 0.995265
686      | (07, 05)             | 0.995831
687      | (21, 25)             | 0.996124
688      | (08, 16)             | 0.997665
689      | (25, 04)             | 0.999007
690      | (06, 08)             | 0.996977
691      | (26, 09)             | 0.997056
692      | (06, 12)             | 0.996852
693      | (22, 04)             | 0.996703
694      | (07, 03)             | 0.995850
695      | (30, 07)             | 0.997295
696      | (31, 28)             | 0.997711
697      | (04, 28)             | 0.999232
698      | (05, 07)             | 0.997756
699      | (12, 31)             | 0.997924
700      | (17, 12)             | 0.867425
701      | (05, 25)             | 0.998838
702      | (28, 14)             | 0.999118
703      | (24, 09)             | 0.992937
704      | (12, 13)             | 0.994626
705      | (26, 27)             | 0.998263
706      | (00, 26)             | 0.998996
707      | (29, 31)             | 0.997493
708      | (30, 06)             | 0.998344
709      | (31, 05)             | 0.997712
710      | (13, 17)             | 0.995681
711      | (29, 25)             | 0.996138
712      | (06, 19)             | 0.997220
713      | (20, 08)             | 0.994718
714      | (13, 05)             | 0.997674
715      | (20, 30)             | 0.999448
716      | (04, 06)             | 0.997777
717      | (11, 30)             | 0.997626
718      | (19, 21)             | 0.997560
719      | (07, 17)             | 0.996674
720      | (05, 27)             | 0.998263
721      | (05, 28)             | 0.998444
722      | (04, 26)             | 0.998889
723      | (09, 18)             | 0.994198
724      | (23, 17)             | 0.998060
725      | (27, 20)             | 0.999361
726      | (13, 25)             | 0.998776
727      | (01, 06)             | 0.998228
728      | (25, 19)             | 0.992684
729      | (09, 15)             | 0.998747
730      | (31, 04)             | 0.999464
731      | (00, 21)             | 0.999844
732      | (11, 29)             | 0.998556
733      | (19, 28)             | 0.996235
734      | (24, 13)             | 0.993909
735      | (19, 24)             | 0.996964
736      | (11, 04)             | 0.996490
737      | (15, 12)             | 0.677962
738      | (10, 11)             | 0.996245
739      | (02, 02)             | 0.999891
740      | (11, 14)             | 0.997222
741      | (14, 00)             | 0.998618
742      | (02, 14)             | 0.996478
743      | (20, 28)             | 0.998052
744      | (30, 15)             | 0.996773
745      | (07, 21)             | 0.997331
746      | (18, 28)             | 0.998798
747      | (10, 24)             | 0.998796
748      | (29, 09)             | 0.997249
749      | (07, 09)             | 0.996595
750      | (08, 09)             | 0.996878
751      | (05, 06)             | 0.997932
752      | (22, 20)             | 0.995546
753      | (22, 28)             | 0.997580
754      | (14, 08)             | 0.996166
755      | (29, 03)             | 0.998892
756      | (15, 31)             | 0.965089
757      | (30, 13)             | 0.997883
758      | (01, 11)             | 0.999251
759      | (08, 11)             | 0.993634
760      | (11, 03)             | 0.998787
761      | (22, 16)             | 0.991197
762      | (24, 17)             | 0.995564
763      | (07, 18)             | 0.997243
764      | (21, 08)             | 0.997302
765      | (12, 12)             | 0.998560
766      | (02, 11)             | 0.997185
767      | (09, 29)             | 0.997547
768      | (17, 15)             | 0.813267
769      | (25, 29)             | 0.998798
770      | (01, 26)             | 0.998201
771      | (20, 26)             | 0.995261
772      | (30, 20)             | 0.998193
773      | (20, 16)             | 0.996529
774      | (04, 18)             | 0.995183
775      | (20, 17)             | 0.995086
776      | (26, 07)             | 0.996548
777      | (14, 15)             | 0.995176
778      | (27, 31)             | 0.997856
779      | (26, 29)             | 0.998105
780      | (05, 01)             | 0.998952
781      | (11, 15)             | 0.998071
782      | (03, 24)             | 0.999452
783      | (14, 21)             | 0.997957
784      | (18, 04)             | 0.996445
785      | (01, 16)             | 0.998801
786      | (05, 14)             | 0.997505
787      | (06, 10)             | 0.995058
788      | (28, 23)             | 0.997553
789      | (02, 27)             | 0.999438
790      | (12, 03)             | 0.999116
791      | (09, 07)             | 0.998327
792      | (10, 08)             | 0.996235
793      | (01, 13)             | 0.998237
794      | (15, 00)             | 0.997958
795      | (03, 04)             | 0.998135
796      | (02, 15)             | 0.997247
797      | (29, 01)             | 0.998811
798      | (25, 13)             | 0.989487
799      | (17, 23)             | 0.449964
800      | (26, 06)             | 0.996925
801      | (10, 29)             | 0.998292
802      | (27, 24)             | 0.998404
803      | (27, 18)             | 0.999131
804      | (10, 20)             | 0.998169
805      | (11, 25)             | 0.998712
806      | (12, 10)             | 0.990681
807      | (06, 00)             | 0.999086
808      | (24, 21)             | 0.995491
809      | (06, 17)             | 0.998883
810      | (06, 03)             | 0.998499
811      | (09, 04)             | 0.996664
812      | (11, 02)             | 0.997948
813      | (05, 31)             | 0.997999
814      | (19, 25)             | 0.998787
815      | (14, 28)             | 0.999094
816      | (03, 12)             | 0.996719
817      | (01, 04)             | 0.996656
818      | (21, 06)             | 0.997457
